benchmark,repetition_id,exception,tool,mtf,repeatibility
ant,1,java.lang.IllegalStateException,zest,107,0.1
ant,1,java.lang.IllegalStateException,pest,136,0.1
ant,1,java.lang.IllegalStateException,pest2,70,0.1
closure,1,java.lang.NullPointerException,zest,12,0.1
closure,1,java.lang.NullPointerException,pest,56,0.1
closure,1,java.lang.NullPointerException,pest2,19,0.1
rhino,1,java.lang.IllegalStateException,zest,11,0.1
rhino,1,java.lang.IllegalStateException,pest,2,0.1
rhino,1,java.lang.IllegalStateException,pest2,7,0.1
rhino,1,java.lang.VerifyError,zest,39,0.1
rhino,1,java.lang.VerifyError,pest2,7,0.1
rhino,1,java.lang.NullPointerException,zest,39,0.1
rhino,1,java.lang.NullPointerException,pest,2,0.1
rhino,1,java.lang.NullPointerException,pest2,9,0.1
bcel,1,org.apache.bcel.classfile.ClassFormatException,zest,39,0.1
bcel,1,org.apache.bcel.classfile.ClassFormatException,pest,5,0.1
bcel,1,org.apache.bcel.classfile.ClassFormatException,pest2,27,0.1
bcel,1,org.apache.bcel.verifier.exc.AssertionViolatedException,zest,39,0.1
ant,2,java.lang.IllegalStateException,zest,192,0.1
ant,2,java.lang.IllegalStateException,pest,167,0.1
ant,2,java.lang.IllegalStateException,pest2,145,0.1
closure,2,java.lang.NullPointerException,zest,11,0.1
closure,2,java.lang.NullPointerException,pest,31,0.1
closure,2,java.lang.NullPointerException,pest2,13,0.1
rhino,2,java.lang.IllegalStateException,zest,18,0.1
rhino,2,java.lang.IllegalStateException,pest,2,0.1
rhino,2,java.lang.IllegalStateException,pest2,11,0.1
rhino,2,java.lang.NullPointerException,zest,18,0.1
rhino,2,java.lang.NullPointerException,pest,18,0.1
rhino,2,java.lang.NullPointerException,pest2,11,0.1
bcel,2,org.apache.bcel.classfile.ClassFormatException,zest,30,0.1
bcel,2,org.apache.bcel.classfile.ClassFormatException,pest,22,0.1
bcel,2,org.apache.bcel.classfile.ClassFormatException,pest2,10,0.1
bcel,2,org.apache.bcel.verifier.exc.AssertionViolatedException,zest,30,0.1
bcel,2,org.apache.bcel.verifier.exc.AssertionViolatedException,pest,22,0.1
bcel,2,org.apache.bcel.verifier.exc.AssertionViolatedException,pest2,10,0.1
ant,3,java.lang.IllegalStateException,zest,77,0.1
ant,3,java.lang.IllegalStateException,pest,115,0.1
ant,3,java.lang.IllegalStateException,pest2,241,0.1
closure,3,java.lang.NullPointerException,zest,8,0.1
closure,3,java.lang.NullPointerException,pest,21,0.1
closure,3,java.lang.NullPointerException,pest2,19,0.1
rhino,3,java.lang.IllegalStateException,zest,3,0.1
rhino,3,java.lang.IllegalStateException,pest,4,0.1
rhino,3,java.lang.IllegalStateException,pest2,26,0.1
rhino,3,java.lang.NullPointerException,zest,26,0.1
rhino,3,java.lang.NullPointerException,pest,13,0.1
rhino,3,java.lang.NullPointerException,pest2,32,0.1
rhino,3,java.lang.VerifyError,zest,26,0.1
rhino,3,java.lang.VerifyError,pest2,45,0.1
bcel,3,org.apache.bcel.classfile.ClassFormatException,zest,66,0.1
bcel,3,org.apache.bcel.classfile.ClassFormatException,pest,29,0.1
bcel,3,org.apache.bcel.classfile.ClassFormatException,pest2,9,0.1
bcel,3,org.apache.bcel.verifier.exc.AssertionViolatedException,zest,66,0.1
bcel,3,org.apache.bcel.verifier.exc.AssertionViolatedException,pest2,9,0.1
ant,4,java.lang.IllegalStateException,pest,57,0.1
ant,4,java.lang.IllegalStateException,pest2,76,0.1
closure,4,java.lang.NullPointerException,zest,3,0.1
closure,4,java.lang.NullPointerException,pest,5,0.1
closure,4,java.lang.NullPointerException,pest2,11,0.1
rhino,4,java.lang.IllegalStateException,zest,11,0.1
rhino,4,java.lang.IllegalStateException,pest,8,0.1
rhino,4,java.lang.IllegalStateException,pest2,4,0.1
rhino,4,java.lang.NullPointerException,pest,8,0.1
rhino,4,java.lang.NullPointerException,pest2,4,0.1
bcel,4,org.apache.bcel.classfile.ClassFormatException,zest,27,0.1
bcel,4,org.apache.bcel.classfile.ClassFormatException,pest,4,0.1
bcel,4,org.apache.bcel.classfile.ClassFormatException,pest2,14,0.1
bcel,4,org.apache.bcel.verifier.exc.AssertionViolatedException,zest,27,0.1
bcel,4,org.apache.bcel.verifier.exc.AssertionViolatedException,pest,4,0.1
bcel,4,org.apache.bcel.verifier.exc.AssertionViolatedException,pest2,14,0.1
ant,5,java.lang.IllegalStateException,zest,150,0.1
ant,5,java.lang.IllegalStateException,pest,112,0.1
ant,5,java.lang.IllegalStateException,pest2,250,0.1
closure,5,java.lang.NullPointerException,zest,13,0.1
closure,5,java.lang.NullPointerException,pest,7,0.1
closure,5,java.lang.NullPointerException,pest2,9,0.1
rhino,5,java.lang.NullPointerException,zest,14,0.1
rhino,5,java.lang.NullPointerException,pest,10,0.1
rhino,5,java.lang.NullPointerException,pest2,17,0.1
rhino,5,java.lang.IllegalStateException,zest,14,0.1
rhino,5,java.lang.IllegalStateException,pest,10,0.1
rhino,5,java.lang.IllegalStateException,pest2,12,0.1
rhino,5,java.lang.VerifyError,zest,14,0.1
bcel,5,org.apache.bcel.classfile.ClassFormatException,zest,5,0.1
bcel,5,org.apache.bcel.classfile.ClassFormatException,pest,20,0.1
bcel,5,org.apache.bcel.classfile.ClassFormatException,pest2,22,0.1
bcel,5,org.apache.bcel.verifier.exc.AssertionViolatedException,zest,5,0.1
bcel,5,org.apache.bcel.verifier.exc.AssertionViolatedException,pest,20,0.1
ant,6,java.lang.IllegalStateException,zest,101,0.1
ant,6,java.lang.IllegalStateException,pest,250,0.1
ant,6,java.lang.IllegalStateException,pest2,45,0.1
closure,6,java.lang.NullPointerException,zest,5,0.1
closure,6,java.lang.NullPointerException,pest,27,0.1
closure,6,java.lang.NullPointerException,pest2,14,0.1
rhino,6,java.lang.IllegalStateException,zest,20,0.1
rhino,6,java.lang.IllegalStateException,pest,4,0.1
rhino,6,java.lang.IllegalStateException,pest2,21,0.1
rhino,6,java.lang.NullPointerException,zest,112,0.1
rhino,6,java.lang.NullPointerException,pest,13,0.1
rhino,6,java.lang.NullPointerException,pest2,31,0.1
rhino,6,java.lang.VerifyError,pest,35,0.1
rhino,6,java.lang.VerifyError,pest2,66,0.1
bcel,6,org.apache.bcel.classfile.ClassFormatException,zest,39,0.1
bcel,6,org.apache.bcel.classfile.ClassFormatException,pest,30,0.1
