benchmark,repetition_id,exception,tool,mtf,repeatibility
closure,5,java.lang.NullPointerException,pest,7,1.0
closure,6,java.lang.NullPointerException,pest,27,1.0
closure,7,java.lang.NullPointerException,pest,3,1.0
closure,8,java.lang.NullPointerException,pest,15,1.0
closure,9,java.lang.NullPointerException,pest,6,1.0
closure,10,java.lang.NullPointerException,pest,8,1.0
closure,11,java.lang.NullPointerException,pest,33,1.0
closure,12,java.lang.NullPointerException,pest,8,1.0
closure,13,java.lang.NullPointerException,pest,14,1.0
closure,14,java.lang.NullPointerException,pest,20,1.0
closure,15,java.lang.NullPointerException,pest,24,1.0
closure,16,java.lang.NullPointerException,pest,2,1.0
closure,17,java.lang.NullPointerException,pest,3,1.0
closure,18,java.lang.NullPointerException,pest,23,1.0
closure,19,java.lang.NullPointerException,pest,32,1.0
closure,20,java.lang.NullPointerException,pest,7,1.0
closure,21,java.lang.NullPointerException,pest,20,1.0
closure,22,java.lang.NullPointerException,pest,2,1.0
closure,23,java.lang.NullPointerException,pest,3,1.0
closure,24,java.lang.NullPointerException,pest,2,1.0
closure,25,java.lang.NullPointerException,pest,10,1.0
closure,1,java.lang.NullPointerException,pest2,19,1.0
closure,2,java.lang.NullPointerException,pest2,13,1.0
closure,3,java.lang.NullPointerException,pest2,19,1.0
closure,4,java.lang.NullPointerException,pest2,11,1.0
closure,5,java.lang.NullPointerException,pest2,9,1.0
closure,6,java.lang.NullPointerException,pest2,14,1.0
closure,7,java.lang.NullPointerException,pest2,9,1.0
closure,8,java.lang.NullPointerException,pest2,7,1.0
closure,9,java.lang.NullPointerException,pest2,6,1.0
closure,10,java.lang.NullPointerException,pest2,2,1.0
closure,11,java.lang.NullPointerException,pest2,39,1.0
closure,12,java.lang.NullPointerException,pest2,12,1.0
closure,13,java.lang.NullPointerException,pest2,12,1.0
closure,14,java.lang.NullPointerException,pest2,65,1.0
closure,15,java.lang.NullPointerException,pest2,5,1.0
closure,16,java.lang.NullPointerException,pest2,0,1.0
closure,17,java.lang.NullPointerException,pest2,187,1.0
closure,18,java.lang.NullPointerException,pest2,8,1.0
closure,19,java.lang.NullPointerException,pest2,2,1.0
closure,20,java.lang.NullPointerException,pest2,1,1.0
closure,21,java.lang.NullPointerException,pest2,16,1.0
closure,22,java.lang.NullPointerException,pest2,1,1.0
closure,23,java.lang.NullPointerException,pest2,21,1.0
